# MediaDive authoritative collection table
# source: https://mediadive.dsmz.de/rest/media (fetched 2026-09-06, HTTP 200, 3339 rows)
# MediaDive aggregates recipes published by several culture collections. `collection`
# is MediaDive's own `source` field - NOT derived from the link host (mediadive C110
# links to atcc.org but MediaDive classifies it CCAP, and 73 on-disk records have a
# synthesised fallback URL whose host says nothing).
mediadive_id	collection	upstream_link	upstream_name
1034	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1034.pdf	ALKALIPHILIC HALOMONAS MEDIUM
1035	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1035.pdf	COLLIMONAS MEDIUM
1036	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1036.pdf	ACETIVIBRIO ALKALICELLULOSI MEDIUM
1037	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1037.pdf	THIOMONAS DELICATA MEDIUM
1038	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1038.pdf	ACIDICALDUS MEDIUM
1039	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1039.pdf	ANACKER-ORDAL AGAR
104	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104.pdf	PYG MEDIUM (modified)
1040	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1040.pdf	MARIDESULFOVIBRIO MEDIUM
1041	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1041.pdf	DESULFUROMUSA FERRIREDUCENS MEDIUM
1042	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1042.pdf	VULCANIBACILLUS MEDIUM
1043	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1043.pdf	IGNISPHAERA MEDIUM
1044	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1044.pdf	GLUCONACETOBACTER RHAETICUS MEDIUM
1045	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1045.pdf	THERMUS SP. MEDIUM
1046	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1046.pdf	ANOXYBACILLUS AMYLOLYTICUS MEDIUM
1047	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1047.pdf	DIFCO RAKA-RAY NO.3 MEDIUM
1048	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1048.pdf	GAUZE'S SYNTHETIC MEDIUM NO.1
1049	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1049.pdf	SELENATE REDUCER MEDIUM
104a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104a.pdf	ANAEROBACULUM MEDIUM
104b	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104b.pdf	PY + X MEDIUM
104c	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104c.pdf	PY + X MEDIUM (N2/CO2)
104d	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104d.pdf	MALEDIVIBACTER MEDIUM
105	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium105.pdf	GLUCONOBACTER OXYDANS MEDIUM
1050	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1050.pdf	DEXTRAN MEDIUM
1051	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1051.pdf	TEPIDANAEROBACTER MEDIUM
1052	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1052.pdf	BOSEA MEDIUM
1053	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1053.pdf	SULFURIMONAS PARALVINELLA MEDIUM
1053a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1053a.pdf	THIOPROFUNDUM LITHOTROPHICUM MEDIUM
1054	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1054.pdf	A1-MEDIUM
1055	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1055.pdf	DESULFOVERMICULUS MEDIUM
1056	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1056.pdf	DESULFOSALSIMONAS MEDIUM
1057	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1057.pdf	ETHANOLIGENES MEDIUM
1058	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058.pdf	THIOHALOPHILUS MEDIUM
1058a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058a.pdf	THIOHALOSPIRA HALOPHILA MEDIUM
1058b	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058b.pdf	HALOTHIOBACILLUS HL2 MEDIUM
1058c	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058c.pdf	THIOHALORHABDUS DENITRIFICANS MEDIUM
1058d	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058d.pdf	THIOHALOMONAS DENITRIFICANS MEDIUM
1058e	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1058e.pdf	THIOHALOBACTER THIOCYANATICUS MEDIUM
1059	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1059.pdf	GEOALKALIBACTER MEDIUM
